# ======================================================================
# Aggregated IP/Proxy Addresses
# Generated: 2026-01-01 12:35:56 UTC
# Total: 1616 | Valid: 763 | Untested: 0
# ======================================================================
# Format: ADDRESS | STATUS | LATENCY | TYPE | LOCATION | ISP
# ======================================================================

43.155.170.40:1080     | ✗ | -       | -    | 韩国              | -
43.157.29.112:1080     | ✗ | -       | -    | 韩国              | -
43.159.147.149:1080    | ✗ | -       | -    | 韩国              | -
45.9.61.18:443         | ✓ | 115ms   | -    | 通用              | -
45.55.32.17:443        | ✗ | -       | -    | 通用              | -
45.56.228.8:443        | ✓ | 97ms    | -    | 通用              | -
45.79.220.116:443      | ✓ | 20ms    | -    | 通用              | -
45.142.18.246:443      | ✓ | 104ms   | -    | 通用              | -
45.249.111.203:443     | ✓ | 202ms   | -    | 通用              | -
46.10.214.92:443       | ✓ | 131ms   | -    | 通用              | -
46.101.22.14:443       | ✓ | 93ms    | -    | 通用              | -
46.105.117.17:443      | ✓ | 99ms    | -    | 通用              | -
46.229.114.132:40000   | ✓ | 115ms   | -    | 通用              | -
46.235.92.149:443      | ✗ | -       | -    | 通用              | -
47.57.233.126:80       | ✓ | 196ms   | -    | -               | -
47.74.155.26:443       | ✓ | 213ms   | -    | -               | -
47.76.26.106:1080      | ✗ | -       | -    | 韩国              | -
47.76.29.215:1080      | ✗ | -       | -    | 韩国              | -
47.76.39.128:1080      | ✓ | 194ms   | -    | 韩国              | -
47.76.40.0:1080        | ✗ | -       | -    | 韩国              | -
47.76.49.86:1080       | ✗ | -       | -    | 韩国              | -
47.76.51.64:1080       | ✓ | 190ms   | -    | 韩国              | -
47.76.54.169:1080      | ✓ | 199ms   | -    | 韩国              | -
47.76.55.249:1080      | ✗ | -       | -    | 韩国              | -
47.76.60.214:1080      | ✗ | -       | -    | 韩国              | -
47.76.64.21:1080       | ✗ | -       | -    | 韩国              | -
47.76.76.230:5555      | ✗ | -       | -    | 韩国              | -
47.76.93.172:1080      | ✓ | 193ms   | -    | 韩国              | -
47.76.109.152:1080     | ✓ | 200ms   | -    | 韩国              | -
47.76.111.33:1080      | ✓ | 196ms   | -    | 韩国              | -
47.76.119.181:1080     | ✗ | -       | -    | 韩国              | -
47.76.123.6:1080       | ✓ | 199ms   | -    | 韩国              | -
47.76.123.88:1080      | ✗ | -       | -    | 韩国              | -
47.76.127.181:1080     | ✗ | -       | -    | 韩国              | -
47.76.139.194:1080     | ✗ | -       | -    | 韩国              | -
47.76.146.249:1080     | ✗ | -       | -    | 韩国              | -
47.76.147.172:1080     | ✓ | 194ms   | -    | 韩国              | -
47.76.158.4:1080       | ✗ | -       | -    | 韩国              | -
47.76.215.205:1080     | ✗ | -       | -    | 韩国              | -
47.76.231.99:1080      | ✓ | 197ms   | -    | 韩国              | -
47.76.242.59:1080      | ✗ | -       | -    | 韩国              | -
47.76.243.77:1080      | ✗ | -       | -    | 韩国              | -
47.76.245.234:1080     | ✗ | -       | -    | 韩国              | -
47.76.246.91:1080      | ✗ | -       | -    | 韩国              | -
47.76.252.94:1080      | ✗ | -       | -    | 韩国              | -
47.76.254.12:1080      | ✗ | -       | -    | 韩国              | -
47.76.254.133:1080     | ✗ | -       | -    | 韩国              | -
47.76.255.29:1080      | ✗ | -       | -    | 韩国              | -
47.76.255.121:1080     | ✗ | -       | -    | 韩国              | -
47.80.0.63:1080        | ✗ | -       | -    | 韩国              | -
47.80.2.32:1080        | ✗ | -       | -    | 韩国              | -
47.80.2.157:1080       | ✗ | -       | -    | 韩国              | -
47.80.4.34:1080        | ✗ | -       | -    | 韩国              | -
47.80.4.89:1080        | ✗ | -       | -    | 韩国              | -
47.80.5.23:1080        | ✗ | -       | -    | 韩国              | -
47.80.5.157:1080       | ✗ | -       | -    | 韩国              | -
47.80.5.178:1080       | ✗ | -       | -    | 韩国              | -
47.80.6.56:1080        | ✗ | -       | -    | 韩国              | -
47.80.6.121:1080       | ✗ | -       | -    | 韩国              | -
47.80.7.10:1080        | ✗ | -       | -    | 韩国              | -
47.80.7.53:1080        | ✗ | -       | -    | 韩国              | -
47.80.7.73:1080        | ✗ | -       | -    | 韩国              | -
47.80.7.76:1080        | ✗ | -       | -    | 韩国              | -
47.80.7.88:1080        | ✗ | -       | -    | 韩国              | -
47.80.7.125:1080       | ✗ | -       | -    | 韩国              | -
47.80.7.126:1080       | ✗ | -       | -    | 韩国              | -
47.80.7.209:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.14:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.17:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.34:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.51:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.56:1080       | ✗ | -       | -    | 韩国              | -
47.80.10.66:1080       | ✗ | -       | -    | 韩国              | -
