address,ip,port,is_valid,latency_ms,net_type,net_type_en,country,region,city,isp,location,source,category,validation_error
31.31.78.117:443,31.31.78.117,443,True,156.92,,unknown,通用,,,,通用,results,local-general,
31.46.42.248:443,31.46.42.248,443,True,161.24,,unknown,通用,,,,通用,results,local-general,
34.23.182.38:443,34.23.182.38,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
34.73.93.176:443,34.73.93.176,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
34.73.127.72:443,34.73.127.72,443,True,68.2,,unknown,通用,,,,通用,results,local-general,
34.74.83.195:443,34.74.83.195,443,True,68.66,,unknown,通用,,,,通用,results,local-general,
34.74.107.33:443,34.74.107.33,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
34.74.205.117:443,34.74.205.117,443,True,67.61,,unknown,通用,,,,通用,results,local-general,
34.75.149.113:443,34.75.149.113,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
34.93.13.41:443,34.93.13.41,443,True,223.65,,unknown,通用,,,,通用,results,local-general,
34.93.103.38:443,34.93.103.38,443,True,223.31,,unknown,通用,,,,通用,results,local-general,
35.139.204.210:443,35.139.204.210,443,True,78.03,,unknown,通用,,,,通用,results,local-general,
35.187.237.178:443,35.187.237.178,443,True,169.62,,unknown,通用,,,,通用,results,local-general,
35.196.153.252:443,35.196.153.252,443,True,68.52,,unknown,通用,,,,通用,results,local-general,
35.206.199.195:443,35.206.199.195,443,True,138.37,,unknown,通用,,,,通用,results,local-general,
35.212.100.37:443,35.212.100.37,443,True,68.89,,unknown,通用,,,,通用,results,local-general,
35.229.87.215:443,35.229.87.215,443,True,67.27,,unknown,通用,,,,通用,results,local-general,
35.247.136.78:443,35.247.136.78,443,True,172.06,,unknown,通用,,,,通用,results,local-general,
36.26.78.226:1080,36.26.78.226,1080,False,,,unknown,中国,,,,中国,ResultsCN,local-CN,Refused
37.187.21.44:443,37.187.21.44,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
38.34.175.99:10000,38.34.175.99,10000,False,,,unknown,美国,,,,美国,resultsUS,local-US,Timeout
38.34.175.109:10000,38.34.175.109,10000,False,,,unknown,美国,,,,美国,resultsUS,local-US,Timeout
38.210.76.102:443,38.210.76.102,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
39.105.191.39:443,39.105.191.39,443,True,222.79,,unknown,通用,,,,通用,results,local-general,
40.65.182.224:443,40.65.182.224,443,True,179.2,,unknown,通用,,,,通用,results,local-general,
40.142.93.231:443,40.142.93.231,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
40.143.49.96:443,40.143.49.96,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
41.205.129.179:443,41.205.129.179,443,True,280.06,,unknown,通用,,,,通用,results,local-general,
42.96.56.83:443,42.96.56.83,443,True,183.57,,unknown,通用,,,,通用,results,local-general,
42.192.173.202:20000,42.192.173.202,20000,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
43.130.43.241:5555,43.130.43.241,5555,True,2.25,,unknown,,,,,,socks5-proxy,socks5,
43.131.249.38:5555,43.131.249.38,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
43.133.237.134:1080,43.133.237.134,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
43.135.147.159:1080,43.135.147.159,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
43.153.64.167:1080,43.153.64.167,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
43.154.126.50:5555,43.154.126.50,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
43.155.155.32:1080,43.155.155.32,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
43.155.161.184:1080,43.155.161.184,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
43.155.164.102:1080,43.155.164.102,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
